x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
417,16.77,46.87%,170,38.57%,1937,20.18%,162.22%,1.5942%,3654,65.62 ,109.18%,1673 ,1.8625 ,13524 ,3.213 
425,24.96,46.86%,176,39.37%,1788,20.99%,166.86%,1.5546%,3112,73.89 ,104.68%,1556 ,1.8519 ,13128 ,3.189 
428,24.96,46.86%,178,40.00%,1638,21.96%,171.09%,1.6324%,2920,76.62 ,99.29%,1432 ,1.7348 ,12868 ,3.033 
453,26.27,46.86%,186,40.72%,1277,19.83%,173.15%,2.0195%,2488,73.43 ,93.83%,1370 ,1.7880 ,12878 ,2.949 
464,26.58,46.86%,187,40.61%,1368,17.92%,173.65%,1.6535%,2521,55.14 ,88.39%,1351 ,1.7727 ,12609 ,2.811 
448,34.35,46.86%,190,41.32%,1243,18.27%,174.24%,1.5985%,2246,49.17 ,93.56%,1318 ,1.7727 ,11914 ,2.740 
456,34.74,37.42%,194,42.42%,802,21.64%,174.87%,1.4569%,1875,46.50 ,85.61%,1227 ,1.7725 ,11483 ,2.855 
547,38.9,37.42%,202,43.90%,694,23.03%,173.62%,1.5844%,1929,45.12 ,77.26%,1157 ,1.7643 ,12672 ,2.796 
578,65.22,37.42%,210,45.40%,1225,24.68%,170.86%,1.6064%,1779,38.70 ,70.53%,1066 ,1.7478 ,13137 ,2.780 
588,65.91,37.42%,218,46.75%,1169,25.82%,170.57%,1.4612%,1483,37.31 ,64.63%,1025 ,1.7281 ,12824 ,2.764 
610,62.5,37.42%,225,48.30%,688.64,27.03%,173.00%,1.3009%,1182,28.23 ,62.26%,816 ,1.6414 ,12580 ,2.602 
427,42.63,37.36%,240,50.70%,446.32,28.78%,190.39%,1.3440%,881,27.31 ,55.18%,743 ,1.5961 ,8393 ,2.466 
724,65.06,37.26%,249,52.70%,409.14,30.32%,192.97%,1.5775%,911,25.12 ,55.11%,657 ,1.5827 ,11846 ,2.524 
734,65.09,37.27%,240,51.19%,514.5,32.45%,191.29%,1.2888%,763,24.37 ,52.77%,647 ,1.5804 ,11628 ,2.526 
691,38.28,27.79%,275,15.21%,2523,4.14%,151.68%,1.2844%,6198,76.74 ,125.43%,874 ,1.9616 ,17084 ,3.326 
696,38.73,26.90%,275,15.34%,2267,4.43%,150.74%,1.3473%,5745,71.79 ,120.15%,901 ,1.9622 ,16973 ,3.361 
717,41.96,27.35%,274,15.44%,2134,4.38%,156.21%,1.4889%,5327,71.57 ,118.74%,698 ,1.9443 ,16698 ,3.186 
746,35.96,27.75%,267,16.51%,1696,4.48%,161.86%,2.4790%,4804,75.38 ,125.11%,695 ,1.9266 ,16736 ,3.106 
774,39.73,28.06%,282,19.51%,1895,4.03%,152.05%,2.1007%,4952,88.66 ,140.67%,662 ,1.9117 ,16618 ,3.282 
767,37.86,34.29%,278,19.71%,1620,4.15%,151.79%,1.9162%,4632,85.98 ,152.01%,655 ,1.8555 ,15542 ,3.104 
787,40.04,34.53%,276,20.11%,1354,4.67%,152.05%,1.9367%,4421,83.97 ,146.72%,659 ,1.8613 ,15110 ,3.057 
803,47.1,22.18%,272,20.23%,1112,4.90%,149.75%,2.0433%,4313.95,81.19 ,141.08%,689 ,1.8584 ,18783 ,2.963 
797,47.01,22.93%,272,20.53%,970,5.88%,152.18%,1.9349%,3616.36,76.10 ,149.37%,728 ,1.8273 ,17565 ,3.078 
931,43.26,23.02%,266,20.64%,844,5.58%,151.21%,1.6604%,3222.42,70.45 ,159.04%,688 ,1.6945 ,17822 ,2.901 
935,38.69,23.06%,263,20.72%,704,6.06%,147.94%,1.7062%,1427,66.12 ,162.62%,570 ,1.6364 ,16584 ,2.770 
675,29.57,23.59%,260,20.74%,592.7,6.14%,143.84%,1.5191%,1255.56,57.13 ,157.41%,577 ,1.5564 ,11000 ,2.659 
702,31.06,23.92%,264,21.29%,465.05,5.00%,138.49%,1.6509%,1000.71,59.42 ,126.85%,591 ,1.5291 ,10558 ,2.551 
690,27.99,23.90%,277,22.93%,494.34,5.15%,143.59%,1.6837%,842.06,49.31 ,117.01%,592 ,1.4658 ,9011 ,2.489 
473,15.55,23.03%,174,31.76%,3502,11.73%,215.08%,1.5932%,4091,84.17 ,118.82%,490 ,1.8785 ,15467 ,3.202 
499,17.94,22.49%,181,32.96%,2958,12.49%,220.68%,1.6454%,3591,79.31 ,113.69%,456 ,1.8371 ,15384 ,3.163 
520,18.73,22.95%,185,33.70%,2624,11.80%,223.78%,1.3491%,3441,76.58 ,110.05%,422 ,1.8269 ,15129 ,3.048 
550,19.01,23.06%,189,34.04%,2103,12.45%,229.09%,3.1712%,2857,71.90 ,103.99%,422 ,1.7715 ,15108 ,3.074 
533,17.87,25.59%,200,36.00%,2062,10.07%,234.47%,2.9465%,2833,71.88 ,97.84%,366 ,1.6832 ,13986 ,2.977 
531,17.22,25.58%,204,36.71%,1871,10.19%,233.57%,2.6599%,2575,66.56 ,95.83%,332 ,1.6022 ,13144 ,2.820 
377,12.09,25.58%,206,37.11%,1596,12.26%,232.86%,2.9562%,2463,63.65 ,86.08%,295 ,1.5367 ,8750 ,2.711 
384,11.61,19.73%,211,38.10%,1445,13.10%,231.38%,3.2485%,2253,62.46 ,83.19%,278 ,1.4926 ,8241 ,2.622 
394,12.56,19.50%,213,38.70%,1262,13.41%,229.39%,3.0269%,2085,60.57 ,92.28%,265 ,1.4489 ,7676 ,2.532 
400,12.83,19.46%,214,39.12%,1180,12.54%,230.06%,2.5178%,1816,58.34 ,95.39%,240 ,1.3002 ,7066 ,2.431 
387,10.61,19.49%,217,39.60%,597.52,12.15%,251.18%,2.3572%,992.25,53.99 ,91.34%,231 ,1.2456 ,6464 ,2.334 
355,10.18,19.53%,218,39.91%,507.28,12.20%,267.67%,2.0684%,876.86,45.60 ,88.09%,220 ,1.1763 ,5878 ,2.270 
378,11.99,19.63%,223,41.05%,419.7,11.35%,272.88%,2.2812%,741.2,42.50 ,74.76%,184 ,1.1145 ,5903 ,2.198 
355,12.37,19.58%,234,43.20%,380.1,12.41%,279.82%,2.4234%,608.94,38.47 ,62.16%,168 ,1.0727 ,5236 ,2.296 
409,15.66,7.81%,48,36.42%,1716,17.16%,259.55%,3.3441%,2062,119.47 ,110.05%,930 ,1.3188 ,9567 ,2.845 
415,18.45,7.62%,50,37.37%,1538,17.90%,266.58%,2.7070%,1821,121.60 ,104.02%,834 ,1.3116 ,9363 ,2.651 
420,16.77,7.76%,51,37.96%,1379,17.13%,272.61%,2.3690%,1712,106.45 ,99.68%,721 ,1.2934 ,8913 ,2.530 
420,17.75,7.79%,52,38.06%,959,17.73%,279.35%,3.5928%,1618,100.66 ,100.03%,634 ,1.2636 ,8689 ,2.481 
439,17.85,10.11%,56,38.99%,995,14.89%,295.10%,3.0859%,1562,90.10 ,92.23%,565 ,1.3518 ,8606 ,2.562 
462,17.04,10.11%,58,40.09%,863,14.82%,298.89%,2.9097%,1380,87.30 ,92.63%,532 ,1.2591 ,8229 ,2.508 
469,14.76,10.11%,60,41.89%,715,16.34%,304.26%,3.1477%,1203,74.79 ,90.04%,465 ,1.2437 ,7014 ,2.464 
484,15.24,9.56%,63,43.89%,564,18.18%,305.73%,3.3488%,1109,82.79 ,84.93%,407 ,1.1824 ,7932 ,2.450 
484,16.67,9.53%,67,47.09%,467,18.42%,309.26%,3.6834%,1028,78.50 ,77.74%,358 ,1.1404 ,7830 ,2.380 
485,15.83,9.49%,69,48.40%,450,22.58%,314.26%,3.3372%,860,74.47 ,89.25%,343 ,1.0294 ,7485 ,2.364 
515,15.06,9.43%,70,49.50%,389,23.07%,335.55%,3.0924%,743,67.10 ,79.45%,319 ,0.9887 ,7144 ,2.264 
522,15.17,9.39%,71,49.93%,242,22.26%,433.64%,3.0548%,604,60.38 ,73.52%,292 ,0.9311 ,6524 ,2.148 
485,14.93,9.33%,73,51.62%,174,19.78%,441.39%,3.1707%,600,53.30 ,74.13%,259 ,0.8732 ,5762 ,2.145 
469,14.77,9.41%,76,53.68%,169,18.14%,460.99%,2.8185%,755,47.98 ,68.94%,207 ,0.8441 ,4949 ,2.149 
433,7.61,34.10%,97,35.85%,2383,19.36%,190.74%,1.6983%,3557,86.87 ,104.01%,1018 ,1.6562 ,9911 ,3.066 
436,7.77,33.77%,100,36.80%,2096,17.80%,195.11%,1.3758%,3167,80.11 ,103.48%,973 ,1.6815 ,9664 ,2.828 
440,8.07,33.88%,102,37.54%,1989,19.86%,198.96%,1.5088%,2999,77.22 ,106.65%,915 ,1.6445 ,9162 ,2.841 
447,8.41,34.02%,104,38.34%,1455,17.97%,204.68%,2.4089%,2683,74.21 ,103.71%,895 ,1.6042 ,8997 ,2.762 
