x1,x2,x3,x4,x5,x6,x7,x8,y
0.634,2981,0.5930 ,9437,1.1579,0.1293 ,0.0521 ,50,0.2938
0.658,3098,0.6055 ,11582,1.1334,0.1357 ,0.0469 ,51,0.3042
0.682,3255,0.6013 ,14645,1.0472,0.1397 ,0.0430 ,41,0.3269
0.701,3376,0.5952 ,16655,1.0988,0.1397 ,0.0486 ,41,0.3474
0.718,3486,0.5809 ,20744,1.1769,0.1397 ,0.0469 ,41,0.3577
0.745,3632,0.5889 ,23588,1.1494,0.1575 ,0.0435 ,37,0.3903
0.752,3715,0.5737 ,28205,1.1414,0.1575 ,0.0441 ,37,0.4439
0.763,3783,0.5566 ,32325,1.1176,0.1575 ,0.0499 ,38,0.4644
0.772,3862,0.5588 ,35470,1.102,0.1575 ,0.0506 ,39,0.4932
0.781,3891,0.5483 ,36953,1.0737,0.1575 ,0.0503 ,41,0.5254
0.789,3876,0.5327 ,43285,1.1218,0.1575 ,0.0481 ,42,0.6217
0.796,3891,0.5345 ,50505,1.08,0.1575 ,0.0434 ,46,0.7489
0.803,3890,0.5389 ,56466,1.1363,0.1575 ,0.0362 ,48,0.8575
0.812,3904,0.5491 ,62909,1.1749,0.1952 ,0.0336 ,53,1.0155
0.821,3913,0.5358 ,73076,1.1415,0.1952 ,0.0351 ,56,0.9245
0.829,3925,0.5190 ,84174,1.1498,0.1952 ,0.0363 ,58,0.8351
0.835,3926,0.5427 ,93975,1.0848,0.1959 ,0.0362 ,61,1.0032
0.838,3905,0.5419 ,82888,1.2346,0.1959 ,0.0374 ,63,1.0507
0.84,3923,0.5348 ,57985,1.1595,0.1959 ,0.0357 ,66,1.0092
0.512,1048,0.4897 ,1944,0.4538,0.0779 ,0.0401 ,28,0.2281
0.534,1092,0.4903 ,3172,0.4346,0.0779 ,0.0430 ,29,0.2302
0.551,1126,0.4894 ,2987,0.5456,0.0878 ,0.0439 ,28,0.2461
0.567,1153,0.4658 ,4473,0.5454,0.0912 ,0.0430 ,30,0.2629
0.582,1172,0.4573 ,5712,0.5119,0.0940 ,0.0391 ,32,0.2557
0.601,1216,0.4547 ,6801,0.5042,0.0994 ,0.0379 ,32,0.2646
0.618,1288,0.4506 ,9942,0.4179,0.1026 ,0.0400 ,35,0.2678
0.632,1301,0.4420 ,14255,0.4668,0.1054 ,0.0396 ,44,0.2966
0.648,1320,0.4302 ,17894,0.4836,0.1082 ,0.0344 ,48,0.3171
0.663,1349,0.4127 ,23069,0.5199,0.1114 ,0.0257 ,48,0.3495
0.678,1362,0.3975 ,23331,0.5205,0.1147 ,0.0233 ,46,0.3828
0.692,1387,0.3856 ,27085,0.5339,0.1175 ,0.0225 ,49,0.4067
0.705,1395,0.3743 ,37496,0.5551,0.1208 ,0.0216 ,51,0.4653
0.718,1403,0.3664 ,42287,0.5506,0.1241 ,0.0207 ,53,0.489
0.731,1409,0.3589 ,42951,0.5486,0.1249 ,0.0204 ,58,0.5179
0.743,1415,0.3504 ,50311,0.583,0.1318 ,0.0214 ,62,0.5307
0.754,1431,0.3559 ,51182,0.5569,0.1318 ,0.0215 ,63,0.6248
0.763,1441,0.3546 ,48773,0.6038,0.1345 ,0.0202 ,67,0.6989
0.771,1449,0.3403 ,32918,1.135,0.1368 ,0.0198 ,69,0.775
0.478,1169,0.6089 ,657,1.0067,0.0403 ,0.0495 ,34,0.2612
0.501,1220,0.6019 ,980,0.9661,0.0413 ,0.0575 ,34,0.2762
0.521,1252,0.5912 ,1619,0.901,0.0424 ,0.0493 ,35,0.3003
0.539,1276,0.5828 ,2631,0.9276,0.0434 ,0.0489 ,37,0.3342
0.556,1294,0.5738 ,4084,0.9752,0.0452 ,0.0446 ,38,0.3551
0.576,1378,0.5599 ,5937,0.9547,0.0500 ,0.0400 ,39,0.3772
0.593,1448,0.5485 ,10419,0.9637,0.0625 ,0.0361 ,41,0.379
0.608,1492,0.5376 ,16270,0.9857,0.0683 ,0.0377 ,42,0.403
0.623,1516,0.5288 ,19299,1.0008,0.0703 ,0.0295 ,45,0.4178
0.637,1551,0.5075 ,21310,0.974,0.0708 ,0.0261 ,47,0.4374
0.651,1565,0.4749 ,22127,0.9902,0.0712 ,0.0259 ,50,0.4647
0.664,1580,0.4739 ,30437,0.9913,0.0717 ,0.0256 ,53,0.5083
0.677,1596,0.4706 ,21966,1.062,0.0731 ,0.0249 ,57,0.58
0.689,1605,0.4740 ,18941,1.0431,0.0741 ,0.0232 ,62,0.6894
0.701,1611,0.4727 ,15977,1.0783,0.0750 ,0.0215 ,66,0.7187
0.712,1613,0.4636 ,18906,1.1295,0.0755 ,0.0205 ,68,0.775
0.723,1616,0.4773 ,19682,1.131,0.0770 ,0.0189 ,66,0.8911
0.732,1619,0.4830 ,19642,1.2051,0.0777 ,0.0182 ,67,0.9562
0.74,1620,0.4773 ,14134,1.1629,0.0779 ,0.0187 ,71,1.0231
0.445,804,0.6144 ,418,0.4438,0.0238 ,0.0387 ,33,0.5859
0.467,973,0.6061 ,568,0.4245,0.0246 ,0.0546 ,29,0.6608
0.486,995,0.5975 ,652,0.3732,0.0257 ,0.0663 ,32,0.6497
0.503,1007,0.5867 ,1147,0.344,0.0275 ,0.0620 ,32,0.6422
0.519,1015,0.5734 ,1440,0.3209,0.0305 ,0.0618 ,34,0.7534
0.538,1048,0.5589 ,2823,0.3344,0.0349 ,0.0604 ,33,0.5646
0.555,1095,0.5512 ,5294,0.37,0.0396 ,0.0587 ,33,0.5581
0.57,1137,0.5366 ,7286,0.3502,0.0419 ,0.0582 ,39,0.5698
0.585,1162,0.5185 ,8638,0.3574,0.0425 ,0.0546 ,39,0.5724
0.599,1178,0.4998 ,9592,0.3388,0.0466 ,0.0438 ,43,0.5977
0.613,1182,0.4966 ,10045,0.3549,0.0573 ,0.0330 ,44,0.7709
0.626,1195,0.4808 ,11055,0.3828,0.0597 ,0.0304 ,46,1.0008
0.639,1199,0.4810 ,11312,0.334,0.0608 ,0.0276 ,48,1.0118
0.651,1202,0.4759 ,12753,0.3076,0.0613 ,0.0265 ,48,0.8284
0.663,1206,0.4765 ,11791,0.3209,0.0700 ,0.0248 ,51,0.7365
0.674,1208,0.4630 ,13269,0.3336,0.0712 ,0.0258 ,53,0.7445
0.685,1224,0.4760 ,12419,0.2956,0.0716 ,0.0238 ,56,0.8394
0.694,1227,0.4907 ,12945,0.3205,0.0717 ,0.0207 ,57,0.9397
0.702,1229,0.4802 ,10490,0.3292,0.0721 ,0.0143 ,57,1.0703
0.523,715,0.6498 ,926,1.0584,0.0230 ,0.0858 ,43,0.5779
0.546,726,0.6453 ,1852,0.9649,0.0253 ,0.0864 ,47,0.5815
0.566,736,0.6235 ,4161,0.9172,0.0269 ,0.0848 ,50,0.4982
0.584,742,0.6047 ,5153,0.9304,0.0374 ,0.0795 ,53,0.5784
