城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2003,92.96349322,271.2104789,7528.225931,12145.95982,1.092003628,3528.0,0.4939,294.06,0.147112834,0.289163497,2,116.4760853,109.0177837,32.7064648
安庆市,安徽省,2003,134.1356214,200.2548459,8918.783727,27032.9024,0.770371053,5299.0,0.3189,605.2,0.157815598,0.281497318,3,203.4410579,116.6302585,30.6592336
安顺市,贵州省,2003,130.3697131,118.4004696,10932.84163,2508.721295,1.00033938,3042.0,0.3209,250.59,0.158346303,0.214686715,3,155.5177377,105.9437773,26.254911
安阳市,河南省,2003,109.7335197,193.4770403,24197.77373,8231.42212,0.937551088,6869.0,0.2925,533.14,0.211070263,0.299209754,3,428.0864804,114.5096506,35.9901282
鞍山市,辽宁省,2003,263.6978656,299.073687,18018.12615,52064.21358,0.97644646,22909.0,0.3903,345.28,0.505618628,0.266160092,1,316.7701854,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2003,147.0564777,220.2621514,7089.143956,5434.48824,0.704996372,8643.0,0.3536,176.13,0.326349855,0.223682288,1,112.5997256,107.494851,41.569576
巴中市,四川省,2003,143.1728513,92.07010816,4864.34573,12594.68813,0.388667876,3051.0,0.362,356.06,0.155591754,0.294547525,3,92.32541464,107.062301,32.040248
白城市,吉林省,2003,544.3808463,2488.884777,9750.114279,12680.19998,0.499334576,6152.0,0.3146,200.82,0.401105468,0.203103645,1,310.1699929,123.1327161,45.4086001
白山市,吉林省,2003,544.3808463,2782.450936,10900.14887,9507.02071,0.499334576,8264.0,0.3125,132.97,0.66127698,0.203103645,1,346.7548176,126.4183792,41.936895
白银市,甘肃省,2003,168.6895371,110.8173399,4489.209533,10745.27651,0.707590018,6028.0,0.3342,173.64,0.225869615,0.287233703,2,79.7005753,104.784953,36.536461
百色市,广西壮族自治区,2003,281.7464121,27.31885334,2816.603428,6153.77141,0.471565699,4416.0,0.3103,368.44,0.1255564,0.390249571,4,118.6462496,106.6148824,23.9053605
蚌埠市,安徽省,2003,134.1356214,257.0594677,11448.70071,30852.50069,0.770371053,6269.0,0.3674,344.93,0.247209579,0.281497318,3,261.1494858,117.3825673,32.9176422
包头市,内蒙古自治区,2003,147.0564777,722.6803327,23259.4882,29568.06966,0.704996372,19089.0,0.3845,238.13,0.603283921,0.223682288,1,369.4398089,109.944912,40.6174777
宝鸡市,陕西省,2003,92.96349322,526.6510701,14618.71333,31551.35404,1.092003628,7132.0,0.3772,367.1,0.242032144,0.289163497,2,226.1795165,107.2322378,34.3609713
保定市,河北省,2003,120.412456,425.657016,45420.8981,29523.31808,0.965733575,8614.0,0.3632,1076.98,0.232873405,0.283105666,2,625.6564268,115.490696,38.8579735
保山市,云南省,2003,106.8565899,84.2769604,3452.312269,9078.05289,0.653315062,3662.0,0.425,239.25,0.104284222,0.287976794,5,66.94412068,99.1591622,25.1147115
