城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2010,378.8426325,181.6286473,7324.50075,28801.0,0.87,12428.0,0.399,304.35,0.161715788,0.363275138,2,157.4864817,109.0177837,32.7064648
安庆市,安徽省,2010,319.9925166,364.1260874,15163.67233,52671.0,0.791,18604.0,0.3123,615.62,0.184616484,0.417003345,3,483.5077196,116.6302585,30.6592336
安顺市,贵州省,2010,158.985775,377.0508749,28050.79789,27806.0,0.656,8442.6,0.4465,279.79,0.15119554,0.310699515,3,405.8376018,105.9437773,26.254911
安阳市,河南省,2010,269.7426061,369.8298677,33526.62739,71815.0,0.844,25330.0,0.2639,581.4,0.223126935,0.318968178,3,829.0638476,114.5096506,35.9901282
鞍山市,辽宁省,2010,656.3906884,1051.854415,55911.77622,75303.0,0.836,58426.0,0.413,351.79,0.506043947,0.238490002,1,1375.025764,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2010,290.8017674,1221.66451,46882.34351,11814.0,0.85,35463.0,0.2397,186.34,0.346928196,0.259936923,1,625.8461137,107.494851,41.569576
巴中市,四川省,2010,744.5769505,239.9704233,8556.758386,18236.0,0.289,8618.0,0.3713,388.01,0.186865802,0.277207145,3,396.9873278,107.062301,32.040248
白城市,吉林省,2010,193.9774982,49.23654332,3647.349602,13476.0,0.679,21973.0,0.36,202.64,0.397815831,0.2389362,1,51.01554706,123.1327161,45.4086001
白山市,吉林省,2010,193.9774982,68.96125871,5108.51905,29604.0,0.679,33524.0,0.2974,128.7,0.687672106,0.2389362,1,71.45295145,126.4183792,41.936895
白银市,甘肃省,2010,168.391796,289.2967819,12184.56723,21171.0,0.612,17680.0,0.3291,180.39,0.264209768,0.43754724,2,203.2536779,104.784953,36.536461
百色市,广西壮族自治区,2010,192.4587476,172.2979613,16807.62607,21376.0,0.482,15812.0,0.2726,405.62,0.124025443,0.336729399,4,383.3818199,106.6148824,23.9053605
蚌埠市,安徽省,2010,319.9925166,291.5513577,12141.36918,48319.0,0.791,17621.0,0.3391,362.23,0.28858957,0.417003345,3,387.1387879,117.3825673,32.9176422
包头市,内蒙古自治区,2010,290.8017674,4408.529599,169180.8162,129545.0,0.85,94269.0,0.4319,219.8,0.626421292,0.259936923,1,2258.444191,109.944912,40.6174777
宝鸡市,陕西省,2010,378.8426325,705.1862227,28437.8984,38123.0,0.87,26124.0,0.2638,381.09,0.258807631,0.363275138,2,611.4525371,107.2322378,34.3609713
