城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2005,214.0337612,111.8455669,6668.82875,14723.942,1.0207802,5191.0,0.4468,294.94,0.152810741,0.259689507,2,122.5418958,109.0177837,32.7064648
安庆市,安徽省,2005,170.4994104,179.9197907,10128.20635,31018.44,0.77877638,7595.0,0.3809,605.55,0.169019899,0.280214951,3,246.9144587,116.6302585,30.6592336
安顺市,贵州省,2005,73.66786751,194.0942501,15921.91932,3315.9974,0.888967,4026.0,0.3879,256.88,0.154702585,0.254190189,3,195.3996152,105.9437773,26.254911
安阳市,河南省,2005,135.6314913,85.89194028,18674.24235,18598.572,0.90848406,10472.0,0.2664,547.18,0.216601484,0.303136146,3,328.5175241,114.5096506,35.9901282
鞍山市,辽宁省,2005,310.8129321,252.3799534,18388.76547,55592.598,0.931989,29338.0,0.3948,347.64,0.506155793,0.221199863,1,317.5951307,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2005,138.6829686,567.9416397,28687.38818,6737.544,0.7542198,12560.0,0.3166,175.87,0.345141298,0.234587563,1,362.3029114,107.494851,41.569576
巴中市,四川省,2005,162.4111028,149.0704091,6826.793449,13330.453,0.3575934,4237.0,0.3658,362.96,0.164205422,0.212106424,3,140.0562818,107.062301,32.040248
白城市,吉林省,2005,149.0422242,118.5573234,6263.445352,12653.438,0.55993354,7550.0,0.3666,201.6,0.401438492,0.20025509,1,84.77516059,123.1327161,45.4086001
白山市,吉林省,2005,149.0422242,165.8929655,8764.212061,12171.951,0.55993354,12139.0,0.3244,130.3,0.6742901,0.20025509,1,118.6228095,126.4183792,41.936895
白银市,甘肃省,2005,132.1071974,135.8321794,5505.192781,12586.931,0.67785384,8395.0,0.3513,174.57,0.238357106,0.40044389,2,89.84328165,104.784953,36.536461
百色市,广西壮族自治区,2005,115.0567331,100.5104232,6252.095463,8628.621,0.47662528,6415.0,0.2914,373.78,0.126197228,0.288513438,4,131.7744839,106.6148824,23.9053605
蚌埠市,安徽省,2005,170.4994104,212.9075033,11985.18027,33102.389,0.77877638,9465.0,0.3984,349.33,0.265393754,0.280214951,3,292.1854274,117.3825673,32.9176422
包头市,内蒙古自治区,2005,138.6829686,1614.307255,81540.52394,43688.446,0.7542198,40457.0,0.4332,209.32,0.630374546,0.234587563,1,1029.803377,109.944912,40.6174777
宝鸡市,陕西省,2005,214.0337612,375.5625616,22393.04139,32205.524,1.0207802,11258.0,0.3195,369.53,0.245013937,0.259689507,2,411.4794138,107.2322378,34.3609713
保定市,河北省,2005,294.6451855,507.8546872,49399.40708,37251.048,0.95071868,10020.0,0.3291,1092.17,0.232729337,0.211910367,2,974.0403201,115.490696,38.8579735
保山市,云南省,2005,103.4979628,212.2101246,7097.246894,10362.209,0.57673844,4954.0,0.3951,242.49,0.106272424,0.315801724,5,127.2432633,99.1591622,25.1147115
北海市,广西壮族自治区,2005,115.0567331,105.4845987,6561.506356,20719.986,0.47662528,12225.0,0.3705,149.24,0.30206379,0.288513438,4,138.2958912,109.3729721,21.6740808
北京,,2005,1308.941857,15880.128,47369.68241,530.598852,0.91403076,42717.07131,0.71173,1414.96,0.869648,0.275916719,2,12370.67556,116.2,39.56
本溪市,辽宁省,2005,310.8129321,174.793809,12735.72768,43182.409,0.931989,21922.0,0.3439,156.4,0.670716113,0.221199863,1,219.9606658,124.157425,41.176944
滨州市,山东省,2005,209.9543829,248.8991671,11927.4034,23906.285,0.9857445,18031.0,0.2614,371.25,0.211986532,0.276703578,2,222.1297718,117.9647262,37.3821206
亳州市,安徽省,2005,170.4994104,62.52599138,3519.769227,15365.56,0.77877638,5091.0,0.382,550.14,0.099483768,0.280214951,3,85.80807734,115.7730968,33.8490794
沧州市,河北省,2005,294.6451855,324.2653117,31541.53056,18020.155,0.95071868,16581.0,0.3463,684.75,0.217115736,0.211910367,2,621.9249246,116.8511597,38.3042796
常德市,湖南省,2005,244.6483065,571.726411,23248.30331,21855.046,0.61237472,11811.0,0.3349,602.42,0.228611268,0.219412147,3,554.3348518,111.6928724,29.034552
常州市,江苏省,2005,554.4604569,583.2169876,34945.64465,146857.467,0.7292555,31997.0,0.3458,351.63,0.45661633,0.400200671,3,1450.734837,119.9691539,31.8122623
巢湖市,安徽省,2005,170.4994104,133.1533504,7495.587914,19322.23638,0.776397934,7136.0,0.3806,453.06,0.15417384,0.280214951,3,182.7341356,117.7327935,31.7277526
朝阳市,辽宁省,2005,310.8129321,72.88019239,5310.155373,15679.11,0.931989,6280.0,0.3498,338.74,0.26923304,0.221199863,1,91.71249108,120.4390738,41.5754767
潮州市,广东省,2005,294.4703964,25.65766721,1648.316727,64154.697,0.71481208,11422.0,0.3565,250.42,0.283403881,0.407442657,4,31.15621351,116.6204223,23.656593
郴州市,湖南省,2005,244.6483065,429.201841,17452.77879,38543.011,0.61237472,11073.0,0.3495,460.88,0.367601111,0.219412147,3,416.1457899,113.0094337,25.7733598
成都市,四川省,2005,162.4111028,6509.920443,298126.788,110009.552,0.3575934,19627.0,0.4987,1082.03,0.50269401,0.212106424,3,6116.272557,104.063315,30.659867
承德市,河北省,2005,294.6451855,278.7055613,27109.8994,20323.561,0.95071868,10723.0,0.3081,361.28,0.241170283,0.211910367,2,534.5435633,117.9567031,40.9507147
池州市,安徽省,2005,170.4994104,77.74731872,4376.621848,11104.451,0.77877638,8719.0,0.3986,156.31,0.166336127,0.280214951,3,106.6971957,117.4859885,30.6671088
赤峰市,内蒙古自治区,2005,138.6829686,916.9298123,46315.18385,33740.002,0.7542198,7894.0,0.366,445.3,0.225016843,0.234587563,1,584.9304177,118.9759212,43.2564906
崇左市,广西壮族自治区,2005,115.0567331,27.72080797,1724.329997,5210.91,0.47662528,6566.0,0.3452,230.65,0.167266421,0.288513438,4,36.34344626,107.328244,22.4910206
滁州市,安徽省,2005,170.4994104,166.0090081,9345.128089,18044.87,0.77877638,7550.0,0.3456,435.62,0.214957991,0.280214951,3,227.8238777,118.3139455,32.3027377
达州市,四川省,2005,162.4111028,296.9432832,13598.74487,12802.815,0.3575934,6068.0,0.3216,640.24,0.166687492,0.212106424,3,278.9874424,107.650683,31.345115
大连市,辽宁省,2005,310.8129321,2421.772741,176453.8362,215422.046,0.931989,38196.0,0.452,565.33,0.561512745,0.221199863,1,3047.56071,121.6098013,38.9130495
大庆市,黑龙江省,2005,133.7007382,177.4359757,45693.48924,70394.596,0.85445824,53199.0,0.1105,264.38,0.480633936,0.228656869,1,646.569627,124.5598093,46.3240228
大同市,山西省,2005,396.9355138,551.698644,29620.32092,35452.63,0.9348956,11913.0,0.4022,299.49,0.453971752,0.219600048,2,652.4760167,113.2952665,40.0923194
丹东市,辽宁省,2005,310.8129321,220.0625852,16034.07566,28231.2856,0.931989,13502.0,0.4269,242.39,0.415776228,0.221199863,1,276.9269292,124.3821748,40.1237658
德阳市,四川省,2005,162.4111028,325.6599272,14913.84555,25611.316,0.3575934,12593.0,0.2847,382.41,0.21377579,0.212106424,3,305.9676217,104.39013,31.1244028
