城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2002,137.5252915,325.0724321,8021.691689,11326.8558,1.124298622,3083,0.50842,293.24,0.143193289,0.289206301,2,153.313798,109.0177837,32.7064648
安康市,陕西省,2003,92.96349322,271.2104789,7528.225931,12145.95982,1.092003628,3528,0.4939,294.06,0.147112834,0.289163497,2,116.4760853,109.0177837,32.7064648
安康市,陕西省,2004,125.6008423,257.7246181,6940.072317,13316.2362,1.05987216,4059,0.4759,294.97,0.150896701,0.324758643,2,120.8557392,109.0177837,32.7064648
安康市,陕西省,2005,214.0337612,111.8455669,6668.82875,14723.942,1.0207802,5191,0.4468,294.94,0.152810741,0.259689507,2,122.5418958,109.0177837,32.7064648
安康市,陕西省,2006,218.6838901,97.65998951,4717.531241,16217.22,0.990244,5935,0.4401,297.15,0.154164563,0.248777288,2,84.35870907,109.0177837,32.7064648
安康市,陕西省,2007,252.4636718,62.63122546,3971.119925,18050.2,0.96093,7067,0.425,300.07,0.155597027,0.277585375,2,79.98073579,109.0177837,32.7064648
安康市,陕西省,2008,469.7584058,145.9178189,5280.170103,20337,0.9206,8802,0.4017,301.87,0.157882532,0.261304608,2,139.9657517,109.0177837,32.7064648
安康市,陕西省,2009,408.6870998,124.1951486,5772.998884,25019,0.88,10341,0.4154,303.57,0.15918569,0.285734866,2,137.7211749,109.0177837,32.7064648
安康市,陕西省,2010,378.8426325,181.6286473,7324.50075,28801,0.87,12428,0.399,304.35,0.161715788,0.363275138,2,157.4864817,109.0177837,32.7064648
安康市,陕西省,2011,637.7466754,193.7235403,8398.264418,31150,0.8195,15477,0.3734,305.1,0.164128351,0.294937198,2,247.9704597,109.0177837,32.7064648
安康市,陕西省,2012,484.1694508,263.8851576,11491.82675,36380,0.769,18878,0.3471,306,0.166314863,0.321436463,2,279.2261583,109.0177837,32.7064648
安康市,陕西省,2013,462.3560757,306.9766579,12633.14323,43205,0.7635,19628,0.3186,308.3,0.167690232,0.327058724,2,311.7832088,109.0177837,32.7064648
安康市,陕西省,2014,550.9161713,318.0252808,12718.23887,45114,0.758,26117,0.3139,306.2,0.171681857,0.321830244,2,345.3520629,109.0177837,32.7064648
安康市,陕西省,2015,570.8337652,322.2716006,14508.46561,51940,0.7525,29193,0.3232,304.8,0.175158368,0.350504894,2,427.1574552,109.0177837,32.7064648
安康市,陕西省,2016,596.6660985,330.7383431,20949.3402,60294,0.747,31770,0.3466,304,0.178340229,0.339854566,2,613.4239142,109.0177837,32.7064648
安康市,陕西省,2017,556.5994178,309.0987004,18920.36344,72157,0.7415,35721.9,0.287766667,305,0.180503105,0.332704436,2,526.4390867,109.0177837,32.7064648
安康市,陕西省,2018,830.3122996,449.0562672,25646.46205,86597,0.767,42544,0.3384,304,0.183854173,0.358406026,2,872.0753979,109.0177837,32.7064648
安康市,陕西省,2019,705.0097499,555.4456752,31437.06166,89213,0.704,44241,0.4151,304,0.186568169,0.444018959,2,921.8327784,109.0177837,32.7064648
安康市,陕西省,2020,598.2298474,610.4548491,33732.15917,102294.9,0.641,43378,0.4527,303.88,0.189394008,0.387258991,2,862.9392801,109.0177837,32.7064648
安庆市,安徽省,2002,119.5223595,284.5771906,11186.28549,26376.19264,0.767237111,4726,0.3294,604.11,0.154210326,0.252920232,3,251.4619047,116.6302585,30.6592336
安庆市,安徽省,2003,134.1356214,200.2548459,8918.783727,27032.9024,0.770371053,5299,0.3189,605.2,0.157815598,0.281497318,3,203.4410579,116.6302585,30.6592336
安庆市,安徽省,2004,146.4718034,216.729598,10792.10012,28853.184,0.773452304,6483,0.3078,604.2,0.165557762,0.276113009,3,240.0212058,116.6302585,30.6592336
安庆市,安徽省,2005,170.4994104,179.9197907,10128.20635,31018.44,0.77877638,7595,0.3809,605.55,0.169019899,0.280214951,3,246.9144587,116.6302585,30.6592336
安庆市,安徽省,2006,163.8793487,208.7083997,10490.35971,31644.4,0.7813436,8709,0.3863,607.89,0.172481863,0.295883656,3,248.3706732,116.6302585,30.6592336
安庆市,安徽省,2007,191.2554213,289.1410009,14171.50083,32496,0.783517,10485,0.3951,610.99,0.175452953,0.283535677,3,358.0624641,116.6302585,30.6592336
安庆市,安徽省,2008,210.1742918,330.7063687,15274.30929,33600,0.78924,12595,0.3852,613.89,0.177442213,0.351069296,3,399.8394164,116.6302585,30.6592336
安庆市,安徽省,2009,253.4883708,284.098994,13321.30184,47056,0.79505,13811,0.3459,615.88,0.18098818,0.378420177,3,383.5124939,116.6302585,30.6592336
安庆市,安徽省,2010,319.9925166,364.1260874,15163.67233,52671,0.791,18604,0.3123,615.62,0.184616484,0.417003345,3,483.5077196,116.6302585,30.6592336
安庆市,安徽省,2011,367.6111208,331.0463105,13096.27594,37904,0.8,22893,0.298,618.7,0.187138161,0.378126869,3,444.1047745,116.6302585,30.6592336
